exercise_id,exercise_name,muscle_group,base_rating
1,Rickshaw Carry,Forearms,9.6
2,Single-Leg Press,Quadriceps,9.6
3,Landmine twist,Abdominals,9.5
4,Weighted pull-up,Lats,9.5
5,T-Bar Row with Handle,Middle Back,9.5
6,Palms-down wrist curl over bench,Forearms,9.5
7,Atlas Stones,Lower Back,9.5
8,Dumbbell front raise to lateral raise,Shoulders,9.5
9,Clean from Blocks,Quadriceps,9.5
10,Incline Hammer Curls,Biceps,9.5
11,Straight-bar wrist roll-up,Forearms,9.5
12,Barbell glute bridge,Glutes,9.4
13,Clean and press,Shoulders,9.4
14,Triceps dip,Triceps,9.4
15,Dumbbell farmer's walk,Forearms,9.4
16,Palms-up wrist curl over bench,Forearms,9.4
17,Barbell Full Squat,Quadriceps,9.4
18,Barbell deficit deadlift,Lower Back,9.4
19,Barbell Deadlift,Hamstrings,9.4
20,Single-arm palm-in dumbbell shoulder press,Shoulders,9.4
21,Romanian Deadlift With Dumbbells,Hamstrings,9.4
22,Tire flip,Quadriceps,9.4
23,Clean Deadlift,Hamstrings,9.4
24,Elbow plank,Abdominals,9.3
25,Bottoms Up,Abdominals,9.3
26,Barbell back squat to box,Quadriceps,9.3
27,Clean and jerk,Shoulders,9.3
28,Single-arm kettlebell push-press,Shoulders,9.3
29,Push-press,Quadriceps,9.3
30,Suspended ab fall-out,Abdominals,9.3
31,Military press,Shoulders,9.3
32,Power snatch-,Quadriceps,9.3
33,Sumo deadlift,Hamstrings,9.3
34,Hang Clean,Quadriceps,9.3
35,Dumbbell V-Sit Cross Jab,Abdominals,9.3
36,Reverse Band Box Squat,Quadriceps,9.3
37,Standing palms-in shoulder press,Shoulders,9.3
38,Standing cable low-to-high twist,Abdominals,9.3
39,Decline EZ-bar skullcrusher,Triceps,9.3
40,Standing behind-the-back wrist curl,Forearms,9.3
41,Seated finger curl,Forearms,9.3
42,Wide-grip barbell curl,Biceps,9.3
43,Dumbbell spell caster,Abdominals,9.3
44,Dumbbell floor press,Triceps,9.3
45,Lying Face Down Plate Neck Resistance,Neck,9.3
46,Pullups,Lats,9.2
47,Decline reverse crunch,Abdominals,9.2
48,Dumbbell Bench Press,Chest,9.2
49,Jumping rope,Quadriceps,9.2
50,Seated barbell shoulder press,Shoulders,9.2
51,EZ-bar spider curl,Biceps,9.2
52,Smith machine shrug,Traps,9.2
53,Smith Machine Calf Raise,Calves,9.2
54,Romanian Deadlift from Deficit,Hamstrings,9.2
55,Power Snatch,Hamstrings,9.2
56,Pushups,Chest,9.2
57,Barbell walking lunge,Quadriceps,9.2
58,Front Squats With Two Kettlebells,Quadriceps,9.2
59,Spider crawl,Abdominals,9.2
60,Power Clean from Blocks,Hamstrings,9.2
61,Single Leg Push-off,Quadriceps,9.2
62,Hip Circles (Prone),Abductors,9.2
63,Reverse-grip bent-over row,Middle Back,9.2
64,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,9.2
65,Back extension,Lower Back,9.1
66,Close-grip bench press,Chest,9.1
67,Cocoons,Abdominals,9.1
68,Cross-Body Crunch,Abdominals,9.1
69,Dumbbell Flyes,Chest,9.1
70,Hammer Curls,Biceps,9.1
71,Incline dumbbell bench press,Chest,9.1
72,Low-cable cross-over,Chest,9.1
73,Single-arm high-cable side bend,Abdominals,9.1
74,Seated Dumbbell Press,Shoulders,9.1
75,Standing dumbbell shoulder press,Shoulders,9.1
76,EZ-Bar Curl,Biceps,9.1
77,Olympic Squat,Quadriceps,9.1
78,Natural Glute Ham Raise,Hamstrings,9.1
79,Axle Deadlift,Lower Back,9.1
80,Zottman Curl,Biceps,9.1
81,Glute ham raise-,Hamstrings,9.1
82,Single-arm lateral raise,Shoulders,9.1
83,Power Partials,Shoulders,9.1
84,Leverage Shrug,Traps,9.1
85,Cable V-bar push-down,Triceps,9.1
86,Wrist Roller,Forearms,9.1
87,Incline dumbbell reverse fly,Shoulders,9.1
88,Stair climber,Quadriceps,9.1
89,Elbow-to-knee crunch,Abdominals,9.1
90,Kettlebell Pistol Squat,Quadriceps,9.1
91,Overhead dumbbell front raise,Shoulders,9.1
92,Biceps curl to shoulder press,Biceps,9.1
93,Weighted bench dip,Triceps,9.1
94,Barbell Hip Thrust,Glutes,9.1
95,Forward lunge,Quadriceps,9.0
96,Barbell Bench Press - Medium Grip,Chest,9.0
97,Chest dip,Chest,9.0
98,Seated dumbbell shoulder press,Shoulders,9.0
99,Barbell Curl,Biceps,9.0
100,EZ-Bar Skullcrusher,Triceps,9.0
101,One-Arm Dumbbell Row,Middle Back,9.0
102,Alternating standing shoulder press,Shoulders,9.0
103,Concentration curl,Biceps,9.0
104,Decline Crunch,Abdominals,9.0
105,Decline Dumbbell Flyes,Chest,9.0
106,Single-arm incline rear delt raise,Shoulders,9.0
107,Alternating dumbbell front raise,Shoulders,9.0
108,Hanging toes-to-bar,Abdominals,9.0
109,Narrow-stance squat,Quadriceps,9.0
110,Kneeling cable oblique crunch,Abdominals,9.0
111,Reverse Grip Triceps Pushdown,Triceps,9.0
112,Bear crawl sled drag,Quadriceps,9.0
113,Rocky Pull-Ups/Pulldowns,Lats,9.0
114,Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,9.0
115,Box Squat with Bands,Quadriceps,9.0
116,Flexor Incline Dumbbell Curls,Biceps,9.0
117,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,9.0
118,Thigh adductor,Adductors,9.0
119,Machine Bicep Curl,Biceps,9.0
120,Seated Palms-Down Barbell Wrist Curl,Forearms,9.0
121,Car driver,Shoulders,9.0
122,Alternating Deltoid Raise,Shoulders,9.0
123,Hanging Oblique Knee Raise,Abdominals,9.0
124,Bodyweight Flyes,Chest,9.0
125,Standing Calf Raises,Calves,9.0
126,Push-Ups - Close Triceps Position,Triceps,9.0
127,One-Arm Long Bar Row,Middle Back,9.0
128,Overhead cable curl,Biceps,9.0
129,Single-dumbbell front raise,Shoulders,9.0
130,Incline cable chest fly,Chest,9.0
131,Single-leg depth squat,Quadriceps,9.0
132,Dumbbell suitcase crunch,Abdominals,9.0
133,Plate Twist,Abdominals,9.0
134,Single-leg cable hip extension,Glutes,9.0
135,Weighted Jump Squat,Quadriceps,9.0
136,Squat with Chains,Quadriceps,9.0
